date,type,open,delta_units,exec_notional,w_before,w_after,cash_after,equity_open_after_trade,equity_after,trade_date,price
2022-06-24,buy,104.5500030517578,2738.432775261199,286303.1550105919,0.9500488281249971,0.9750244140624986,1109567.3096109093,11463198.59824308,11725117.856426727,2022-06-24,104.5500030517578
2022-06-27,buy,107.0,1368.4191058435406,146420.84432525883,0.9750244140624986,0.9875122070312493,963083.9435851235,11725055.3347262,11773750.459212804,2022-06-27,107.0
2022-06-30,buy,102.3499984741211,1198.0354074626646,122618.92212574677,0.9875122070312493,0.9984390258789062,840412.6631796292,11221779.341807485,10805791.60123034,2022-06-30,102.3499984741211
2022-08-22,sell,108.3000030517578,-32718.91598764391,3543458.701312043,0.9984390258789062,0.6999999999999773,4361097.55541834,11850534.954337379,11720070.733871093,2022-08-22,108.3000030517578
2022-08-23,sell,106.5999984741211,-32983.31398207947,3516021.220161128,0.6999999999999773,0.39999999999999436,7854521.307197492,11697473.265489118,11715064.433384286,2022-08-23,106.5999984741211
2022-08-24,sell,107.0,-10948.65834895697,1171506.4433383958,0.39999999999999436,0.29999999999999716,9018498.47862455,11707535.16147295,11709177.560463255,2022-08-24,107.0
2022-08-25,sell,107.0500030517578,-5469.02252529672,585458.8780231461,0.29999999999999716,0.24999999999999858,9600194.612438643,11705414.8162542,11771042.91965644,2022-08-25,107.0500030517578
2022-08-26,sell,109.4499969482422,-2688.680504308855,294276.07299140247,0.24999999999999858,0.2249999999999993,9892579.37310893,11769151.607335325,11604604.471241843,2022-08-26,109.4499969482422
2022-08-29,sell,102.6500015258789,-1413.1276544983662,145057.55589051897,0.2249999999999993,0.21249999999999966,10036704.644087741,11603672.186330134,11619287.28356879,2022-08-29,102.6500015258789
2022-09-01,sell,101.9000015258789,-1243.5621751161486,126718.98754186083,0.21249999999999966,0.20156249999999998,10162609.208696669,11584921.580894679,11568879.523929639,2022-09-01,101.9000015258789
2022-10-25,buy,76.30000305175781,42853.75302520322,3269741.4866022817,0.20156249999999998,0.5000000000000455,6891471.542479609,10954805.660307426,10804031.808309147,2022-10-25,76.30000305175781
2022-10-26,buy,74.19999694824219,43682.07110241883,3241209.5424923752,0.5000000000000455,0.8000000000000114,3648878.0035125907,10802647.811834503,11058916.495530467,2022-10-26,74.19999694824219
2022-10-27,buy,76.4000015258789,14475.021301909088,1105891.649552984,0.8000000000000114,0.9000000000000057,2542514.1382252476,11058444.279796109,11038902.802254364,2022-10-27,76.4000015258789
