date,equity,cash,position_value_implied,check_sum_eq≈pos+cash
2020-08-31,687996.80473614,1.59643078,687995.20830536,0.00000000
2020-09-01,703237.17982006,1.59643078,703235.58338928,0.00000000
2020-09-02,703237.17982006,1.59643078,703235.58338928,0.00000000
2020-09-03,707591.59643078,1.59643078,707590.00000000,0.00000000
2020-09-04,694528.38812542,1.59643078,694526.79169464,0.00000000
2020-09-07,690718.30473614,1.59643078,690716.70830536,0.00000000
2020-09-08,699427.09643078,1.59643078,699425.50000000,0.00000000
2020-09-09,692895.51304150,1.59643078,692893.91661072,0.00000000
2020-09-10,701060.01304150,1.59643078,701058.41661072,0.00000000
2020-09-11,701060.01304150,1.59643078,701058.41661072,0.00000000
2020-09-14,725009.17982006,1.59643078,725007.58338928,0.00000000
2020-09-15,724464.92965221,1.59643078,724463.33322144,0.00000000
2020-09-16,739161.01304150,1.59643078,739159.41661072,0.00000000
2020-09-17,723920.59643078,1.59643078,723919.00000000,0.00000000
2020-09-18,726642.09643078,1.59643078,726640.50000000,0.00000000
2020-09-21,711946.01304150,1.59643078,711944.41661072,0.00000000
2020-09-22,690174.01304150,1.59643078,690172.41661072,0.00000000
2020-09-23,693984.09643078,1.59643078,693982.50000000,0.00000000
2020-09-24,654794.51304150,1.59643078,654792.91661072,0.00000000
2020-09-25,658604.59643078,1.59643078,658603.00000000,0.00000000
2020-09-28,681465.17982006,1.59643078,681463.58338928,0.00000000
2020-09-29,682009.51304150,1.59643078,682007.91661072,0.00000000
2020-09-30,689085.38812542,1.59643078,689083.79169464,0.00000000
2020-10-05,693439.80473614,1.59643078,693438.20830536,0.00000000
2020-10-06,708680.17982006,1.59643078,708678.58338928,0.00000000
2020-10-07,716300.42965221,1.59643078,716298.83322144,0.00000000
2020-10-08,730996.51304150,1.59643078,730994.91661072,0.00000000
2020-10-12,736439.51304150,1.59643078,736437.91661072,0.00000000
2020-10-13,738616.67982006,1.59643078,738615.08338928,0.00000000
2020-10-14,732629.42965221,1.59643078,732627.83322144,0.00000000
2020-10-15,725009.17982006,1.59643078,725007.58338928,0.00000000
2020-10-16,714667.51304150,1.59643078,714665.91661072,0.00000000
2020-10-19,735350.92965221,1.59643078,735349.33322144,0.00000000
2020-10-20,728275.01304150,1.59643078,728273.41661072,0.00000000
2020-10-21,731540.76320934,1.59643078,731539.16677856,0.00000000
2020-10-22,734262.26320934,1.59643078,734260.66677856,0.00000000
2020-10-23,734806.59643078,1.59643078,734805.00000000,0.00000000
2020-10-26,736983.76320934,1.59643078,736982.16677856,0.00000000
2020-10-27,731540.76320934,1.59643078,731539.16677856,0.00000000
2020-10-28,720110.51304150,1.59643078,720108.91661072,0.00000000
2020-10-29,706503.01304150,1.59643078,706501.41661072,0.00000000
2020-10-30,691262.59643078,1.59643078,691261.00000000,0.00000000
2020-11-02,696705.59643078,1.59643078,696704.00000000,0.00000000
2020-11-03,717389.01304150,1.59643078,717387.41661072,0.00000000
2020-11-04,742426.76320934,1.59643078,742425.16677856,0.00000000
2020-11-05,741338.17982006,1.59643078,741336.58338928,0.00000000
2020-11-06,746236.92965221,1.59643078,746235.33322144,0.00000000
2020-11-09,768553.17982006,1.59643078,768551.58338928,0.00000000
2020-11-10,761477.26320934,1.59643078,761475.66677856,0.00000000
2020-11-11,783793.59643078,1.59643078,783792.00000000,0.00000000
2020-11-12,777262.01304150,1.59643078,777260.41661072,0.00000000
2020-11-13,783793.59643078,1.59643078,783792.00000000,0.00000000
2020-11-16,830603.42965221,1.59643078,830601.83322144,0.00000000
2020-11-17,828426.17982006,1.59643078,828424.58338928,0.00000000
2020-11-18,844755.17982006,1.59643078,844753.58338928,0.00000000
2020-11-19,844210.92965221,1.59643078,844209.33322144,0.00000000
2020-11-20,843666.59643078,1.59643078,843665.00000000,0.00000000
2020-11-23,863805.67982006,1.59643078,863804.08338928,0.00000000
2020-11-24,854552.59643078,1.59643078,854551.00000000,0.00000000
2020-11-25,839856.51304150,1.59643078,839854.91661072,0.00000000
2020-11-26,859995.59643078,1.59643078,859994.00000000,0.00000000
2020-11-27,862717.09643078,1.59643078,862715.50000000,0.00000000
2020-11-30,841489.42965221,1.59643078,841487.83322144,0.00000000
2020-12-01,862172.76320934,1.59643078,862171.16677856,0.00000000
2020-12-02,873603.09643078,1.59643078,873601.50000000,0.00000000
2020-12-03,874691.67982006,1.59643078,874690.08338928,0.00000000
2020-12-04,898096.59643078,1.59643078,898095.00000000,0.00000000
2020-12-07,906261.09643078,1.59643078,906259.50000000,0.00000000
2020-12-08,925855.92965221,1.59643078,925854.33322144,0.00000000
2020-12-09,902451.01304150,902451.01304150,0.00000000,0.00000000
2020-12-10,902451.01304150,902451.01304150,0.00000000,0.00000000
2020-12-11,902451.01304150,902451.01304150,0.00000000,0.00000000
2020-12-14,902451.01304150,902451.01304150,0.00000000,0.00000000
2020-12-15,902451.01304150,902451.01304150,0.00000000,0.00000000
2020-12-16,902451.01304150,902451.01304150,0.00000000,0.00000000
2020-12-17,902451.01304150,902451.01304150,0.00000000,0.00000000
2020-12-18,902451.01304150,902451.01304150,0.00000000,0.00000000
2020-12-21,902451.01304150,902451.01304150,0.00000000,0.00000000
2020-12-22,894365.26304150,81.34594250,894283.91709900,0.00000000
2020-12-23,903529.17884350,81.34594250,903447.83290100,0.00000000
2020-12-24,913771.09594250,81.34594250,913689.75000000,0.00000000
2020-12-25,919700.67884350,81.34594250,919619.33290100,0.00000000
2020-12-28,939645.51239300,81.34594250,939564.16645050,0.00000000
2020-12-29,938567.42884350,81.34594250,938486.08290100,0.00000000
2020-12-30,964441.76304150,81.34594250,964360.41709900,0.00000000
2020-12-31,970371.34594250,81.34594250,970290.00000000,0.00000000
2021-01-04,1001097.17949200,81.34594250,1001015.83354950,0.00000000
2021-01-05,1007565.76304150,81.34594250,1007484.41709900,0.00000000
2021-01-06,1006487.67949200,81.34594250,1006406.33354950,0.00000000
2021-01-07,1050689.76304150,81.34594250,1050608.41709900,0.00000000
2021-01-08,1081954.67949200,81.34594250,1081873.33354950,0.00000000
2021-01-11,1092735.67949200,81.34594250,1092654.33354950,0.00000000
2021-01-12,1086267.09594250,81.34594250,1086185.75000000,0.00000000
2021-01-13,1131547.26304150,81.34594250,1131465.91709900,0.00000000
2021-01-14,1121305.34594250,81.34594250,1121224.00000000,0.00000000
2021-01-15,1110524.34594250,81.34594250,1110443.00000000,0.00000000
2021-01-18,1104055.76239300,81.34594250,1103974.41645050,0.00000000
2021-01-19,1156882.67884350,81.34594250,1156801.33290100,0.00000000
2021-01-20,1136937.76304150,81.34594250,1136856.41709900,0.00000000
2021-01-21,1198389.51239300,81.34594250,1198308.16645050,0.00000000
2021-01-22,1180600.84594250,81.34594250,1180519.50000000,0.00000000
2021-01-25,1164429.34594250,81.34594250,1164348.00000000,0.00000000
2021-01-26,1119688.17949200,81.34594250,1119606.83354950,0.00000000
2021-01-27,1126695.84594250,81.34594250,1126614.50000000,0.00000000
2021-01-28,1085189.01239300,81.34594250,1085107.66645050,0.00000000
2021-01-29,1046916.42949200,81.34594250,1046835.08354950,0.00000000
2021-02-01,1083032.76304150,81.34594250,1082951.41709900,0.00000000
2021-02-02,1135320.67884350,81.34594250,1135239.33290100,0.00000000
2021-02-03,1141789.26239300,81.34594250,1141707.91645050,0.00000000
2021-02-04,1125617.76239300,81.34594250,1125536.41645050,0.00000000
2021-02-05,1145023.51304150,81.34594250,1144942.16709900,0.00000000
2021-02-17,1233427.76239300,81.34594250,1233346.41645050,0.00000000
2021-02-18,1245286.84594250,81.34594250,1245205.50000000,0.00000000
2021-02-19,1228576.26304150,81.34594250,1228494.91709900,0.00000000
2021-02-22,1235583.92949200,81.34594250,1235502.58354950,0.00000000
2021-02-23,1243669.67949200,81.34594250,1243588.33354950,0.00000000
2021-02-24,1201084.76239300,81.34594250,1201003.41645050,0.00000000
2021-02-25,1231810.59594250,81.34594250,1231729.25000000,0.00000000
2021-02-26,1155804.51304150,81.34594250,1155723.16709900,0.00000000
2021-03-02,1156343.59594250,81.34594250,1156262.25000000,0.00000000
2021-03-03,1200006.67884350,81.34594250,1199925.33290100,0.00000000
2021-03-04,1159038.84594250,81.34594250,1158957.50000000,0.00000000
2021-03-05,1145562.59594250,81.34594250,1145481.25000000,0.00000000
2021-03-08,1142328.26304150,81.34594250,1142246.91709900,0.00000000
2021-03-09,1141250.17949200,81.34594250,1141168.83354950,0.00000000
2021-03-10,1148257.84594250,81.34594250,1148176.50000000,0.00000000
2021-03-11,1196772.34594250,81.34594250,1196691.00000000,0.00000000
2021-03-12,1202162.84594250,81.34594250,1202081.50000000,0.00000000
2021-03-15,1201084.76239300,81.34594250,1201003.41645050,0.00000000
2021-03-16,1212943.84594250,81.34594250,1212862.50000000,0.00000000
2021-03-17,1195155.17949200,81.34594250,1195073.83354950,0.00000000
